CatalogNo,SongNumber,RecordingDay,RecordingMonth,RecordingYear,RecordingTime,RecordingTimeSeconds,Latitude,Longitude,TimeOfDay,PlaybackUsed,Duration of Song Bout (log(ms)),Mean Syllable Duration (log(ms)),Mean Inter-Syllable Silence Duration (log(ms)),Total Number of Syllables (log(number))
94464,b6of30,19,7,1998,6:01:00,21660,39.4783,-77.7443,before sunrise,,7.836162781,4.666201162,3.811500854,2.833213344
105316,b3of13,16,6,1993,8:08:00,29280,40.371906,-105.52743,after sunrise,,7.822139432,3.196626858,2.939016044,4.060443011
105492,b3of5,8,6,1994,11:41:00,42060,36.053996,-84.672822,after sunrise,,8.0381328,4.497364681,3.417778725,3.258096538
106500,b2of3,31,5,1993,14:20:00,51600,39.7166667,-120.4666667,after noon,,7.85505237,3.970415226,3.158299302,3.526360525
106527,b4of28,3,6,1993,6:20:00,22800,39.58333,-120.11667,after sunrise,,7.842291248,3.772419781,2.495433063,3.828641396
106563,b1of12,13,6,1993,9:25:00,33900,39.71667,-120.46667,after sunrise,,7.781370448,3.747634916,2.885702983,3.688879454
106641,b1of14,11,6,1994,6:15:00,22500,39.71667,-120.46667,after sunrise,,7.629381931,3.654977903,3.031048946,3.555348061
106704,b3of5,8,6,1995,8:15:00,29700,39.71667,-120.46667,after sunrise,,7.815885823,3.338533645,3.084335084,3.912023005
106759,b1of2,6,6,1996,7:45:00,27900,39.00041,-120.00036,after sunrise,,7.703115169,2.495760234,2.757251697,4.382026635
106878,b2of11,28,5,1998,5:15:00,18900,42.00017,-76.00039,before sunrise,,7.967417717,4.001676392,3.519568134,3.496507561
106965,b4of7,6,6,1999,11:00:00,39600,43.00041,-74.93917,after sunrise,,7.727045514,3.674445985,3.189327907,3.583518938
107017,b1of5,3,6,2000,12:00:00,43200,39.00035,-120.00029,after sunrise,,8.254714635,2.413870877,2.982978478,4.828313737
107540,b2of5,3,6,1994,6:30:00,23400,39.71667,-120.467,after sunrise,,7.682994348,3.852118676,2.333421749,3.63758616
107969,b2of10,28,4,1992,9:00:00,32400,42.00023,-76.00034,after sunrise,,7.703115169,4.408352532,3.769137609,2.890371758
109257,b8of12,17,6,2000,10:02:00,36120,42.856381,-121.563058,after sunrise,,7.663206343,3.335129178,2.809959988,3.871201011
112089,b3of3,8,6,1998,7:51:00,28260,42.2633333,-76.6266667,after sunrise,,7.572731582,3.537329556,3.304691744,3.465735903
112135,b1of15,11,6,1998,9:15:00,33300,42.26683,-76.65117,after sunrise,,7.851475873,3.747811879,3.32391883,3.610917913
118862,b1of14,25,5,2001,7:41:00,27660,35.74504,-118.127143,after sunrise,,7.919183016,3.297403344,2.949762986,4.094344562
118865,b2.28.4,25,5,2001,8:20:00,30000,35.819561,-118.073507,after sunrise,,7.521996671,3.921259824,3.065613639,3.258096538
119431,b1.07,31,5,2001,5:08:00,18480,36.04,-118.504444,before sunrise,,7.46728036,3.353795143,3.292588722,3.465735903
119474,b4of22,28,4,2002,8:45:00,31500,38.971229,-123.11659,after sunrise,,7.785734091,2.679639199,3.049911709,4.219507705
129063,b22.9,17,6,2005,4:56:00,17760,42.830911,-118.924169,before sunrise,,7.0998176,2.636787181,3.308147007,3.401197382
129066,b1of28,17,6,2005,5:18:00,19080,42.830911,-118.924169,before sunrise,,7.915829054,3.847949984,3.098525394,3.688879454
130474,b2of19,3,6,1997,5:50:00,21000,44.975573,-110.593139,after sunrise,,8.105997409,4.024051139,3.23992262,3.713572067
132218,b5of26,24,6,2006,5:05:00,18300,65.9306,-149.8461,after sunrise,,7.960462127,2.941248275,2.540643321,4.510859507
141599,b2of6,13,6,2000,6:35:00,23700,39.6333333,-120.2833333,after sunrise,,7.763722931,4.009239852,3.068667979,3.433987204
141608,b2of6,13,6,2000,8:31:00,30660,39.6333333,-120.2833333,after sunrise,,7.998825974,3.581786431,2.973626907,3.988984047
146257,b9of10,26,6,2005,5:00:00,18000,51.606078,-100.923507,before sunrise,,7.55161217,3.079790209,2.263195053,4.110873864
164429,b4of5,15,6,2010,9:48:00,35280,39.6199104,-120.270896,after sunrise,,7.880096227,3.851886665,3.056897316,3.663561646
166621,b5of6,20,5,2011,19:30:00,70200,34.7473,-85.1373,after noon,,8.035977738,3.895582685,3.069708401,3.784189634
