CatalogNo,RecordingDay,RecordingMonth,RecordingYear,RecordingTime,RecordingTimeSeconds,Latitude,Longitude,Duration of Song Bout (log(ms)),Mean Syllable Duration (log(ms)),Mean Inter-Syllable Silence Duration (log(ms)),Total Number of Syllables (log(number))
118862,25,5,2001,7:41:00,27660,35.74504,-118.127143,7.919183016,3.297403344,2.949762986,4.094344562
118865,25,5,2001,8:20:00,30000,35.819561,-118.073507,7.521996671,3.921259824,3.065613639,3.258096538
119431,31,5,2001,5:08:00,18480,36.04,-118.504444,7.46728036,3.353795143,3.292588722,3.465735903
119474,28,4,2002,8:45:00,31500,38.971229,-123.11659,7.785734091,2.679639199,3.049911709,4.219507705
129063,17,6,2005,4:56:00,17760,42.830911,-118.924169,7.0998176,2.636787181,3.308147007,3.401197382
129066,17,6,2005,5:18:00,19080,42.830911,-118.924169,7.915829054,3.847949984,3.098525394,3.688879454
176252,3,7,2009,12:57:00,46620,39.1161497,-86.1766291,7.710254996,3.82742698,3.468778322,3.36729583
176208,28,6,2009,6:45:00,24300,39.1295398,-86.1588192,7.816141839,3.802740325,2.776549123,3.713572067
219652,19,5,2009,7:42:00,27720,42.426647,-76.337689,8.164952845,3.843168955,3.242406322,3.891820298
84755,6,4,1997,7:58:00,28680,39.25,-77.4,7.857143006,3.37264548,3.134916593,3.912023005
112089,8,6,1998,7:51:00,28260,42.2633333,-76.6266667,7.572731582,3.537329556,3.304691744,3.465735903
61915841,29,5,2017,5:10:00,18600,39.2457593,-74.8549765,7.832769753,3.692642207,3.15631608,3.688879454
61136181,14,6,2017,5:15:00,18900,42.4563705,-76.4783031,7.315545723,3.918352141,3.840759985,2.772588722
61082981,13,6,2017,15:40:00,56400,41.7068979,-86.0577321,7.448232165,3.312566784,3.232277681,3.496507561
59701521,29,5,2017,10:40:00,38400,41.4124473,-88.2196999,7.715930381,3.300323347,3.539603704,3.610917913
58237601,15,5,2017,9:05:00,32700,41.2407226,-76.9371486,7.74424666,3.275046096,3.467718064,3.688879454
56464981,27,4,2017,7:10:00,25800,41.480261,-71.5635842,7.962233215,4.139781741,3.718421133,3.33220451
47979571,10,6,2016,5:45:00,20700,55.505543,-114.039281,7.934649899,2.928061279,2.523621915,4.49980967
31356151,29,6,2016,19:57:00,71820,43.26369,-123.46631,8.086654446,3.335957612,2.581067468,4.369447852
28295391,6,5,2016,8:43:00,31380,36.3312283,-82.4424711,7.738176838,4.236174758,3.160035325,3.218875825
27432141,21,4,2016,7:13:00,25980,35.8461876,-84.1560137,8.038542762,4.412138927,3.512765695,3.295836866
XC313467,23,4,2016,7:52:00,28320,41.8217,-88.0513,7.687808011,3.853182505,3.462939522,3.33220451
XC376766,23,6,2017,8:00:00,28800,19.8279,-99.7886,7.197102631,3.790662149,4.008109884,2.63905733
XC322656,31,5,2015,7:14:00,26040,31.7772,-109.3121,7.749048754,3.57656036,2.85399348,3.784189634
XC205466,22,5,2014,5:05:00,18300,38.2405,-108.8431,7.053160345,3.647517771,3.167118299,2.944438979
XC133489,12,5,2013,9:30:00,34200,40.4746,-74.5269,7.741492217,4.168848382,3.854864592,3.044522438
XC253974,6,4,2015,7:50:00,28200,32.3778,-93.7203,7.385860919,4.140303253,3.345191706,2.890371758
XC177136,4,5,2014,5:30:00,19800,41.186809,-73.892262,7.230528671,2.58617718,3.293863762,3.555348061
49496,13,6,1990,9:00:00,32400,39.68333,-120.43333,7.865096551,3.650691799,3.117956595,3.761200116
